"latitude","longitude","state","county"
40.050302,-86.490381,"IN","Boone"
39.015027,-84.773564,"KY","Boone"
38.781337,-92.265908,"MO","Boone"
41.648736,-98.011092,"NE","Boone"
37.997105,-81.71704,"WV","Boone"
32.743795,-101.432354,"TX","Borden"
31.791801,-97.520315,"TX","Bosque"
32.725032,-93.63759,"LA","Bossier"
37.351517,-79.905211,"VA","Botetourt"
48.830347,-100.601174,"ND","Bottineau"
40.046064,-105.097151,"CO","Boulder"
48.814078,-116.398202,"ID","Boundary"
37.821629,-94.714793,"KS","Bourbon"
38.296337,-84.151319,"KY","Bourbon"
33.411321,-94.177354,"TX","Bowie"
46.205537,-103.521263,"ND","Bowman"
42.219844,-103.073327,"NE","Box Butte"
41.609266,-112.124107,"UT","Box Elder"
38.43296,-82.693914,"KY","Boyd"
42.879903,-98.781334,"NE","Boyd"
37.636006,-84.849682,"KY","Boyle"
38.72342,-83.982911,"KY","Bracken"
29.968926,-82.122553,"FL","Bradford"
41.77197,-76.521266,"PA","Bradford"
33.566349,-92.240352,"AR","Bradley"
35.2637,-84.793619,"TN","Bradley"
41.880399,-85.162804,"MI","Branch"
31.178954,-82.123686,"GA","Brantley"
38.777546,-80.656974,"WV","Braxton"
28.995948,-95.520413,"TX","Brazoria"
30.667044,-96.361631,"TX","Brazos"
37.515013,-83.26432,"KY","Breathitt"
37.847839,-86.463591,"KY","Breckinridge"
42.686195,-92.387102,"IA","Bremer"
28.699314,-80.895344,"FL","Brevard"
30.357926,-103.66029,"TX","Brewster"
34.380648,-101.087775,"TX","Briscoe"
41.998799,-71.200894,"MA","Bristol"
41.742501,-71.320395,"RI","Bristol"
36.613815,-82.176238,"VA","Bristol"
46.206922,-111.634364,"MT","Broadwater"
40.819329,-73.920355,"NY","Bronx"
40.225862,-80.65135,"WV","Brooke"
44.304195,-96.667977,"SD","Brookings"
30.856633,-83.526479,"GA","Brooks"
27.023059,-98.261049,"TX","Brooks"
42.080494,-76.097288,"NY","Broome"
26.062416,-80.159667,"FL","Broward"
39.978147,-90.756924,"IL","Brown"
39.244566,-86.267561,"IN","Brown"
39.699141,-95.462469,"KS","Brown"
44.111351,-94.907833,"MN","Brown"
42.542734,-99.852364,"NE","Brown"
38.693525,-83.740804,"OH","Brown"
45.476172,-98.410405,"SD","Brown"
31.801502,-98.827637,"TX","Brown"
44.453629,-87.978279,"WI","Brown"
43.772585,-99.149806,"SD","Brule"
33.926255,-78.07127,"NC","Brunswick"
36.858078,-77.894632,"VA","Brunswick"
32.159233,-81.502963,"GA","Bryan"
33.971979,-96.457371,"OK","Bryan"
42.570346,-91.748063,"IA","Buchanan"
39.631108,-94.714003,"MO","Buchanan"
37.287992,-82.027408,"VA","Buchanan"
37.563225,-78.53643,"VA","Buckingham"
40.328645,-75.10278,"PA","Bucks"
42.735002,-95.151118,"IA","Buena Vista"
37.730001,-79.355121,"VA","Buena Vista City"
40.916581,-99.292974,"NE","Buffalo"
44.064873,-99.251509,"SD","Buffalo"
